repair_id,product_id,sku,component_id,component_type,failure_date,failure_type,failure_description,repair_status,repair_cost,replacement_cost,downtime_days,warranty_claim
R0010003,P016953,LP-APPLE-PRO-J1E-2024,BAT-APPLE-PRO-J1E-2024,Battery,2025-05-20,Rapid battery drain,Rapid battery drain reported for battery.,Repaired,126.87,271.26,1,False
R0010004,P016956,LP-HP-AIR-53O-2024,DSP-HP-AIR-53O-2024,Display,2025-04-10,Display failure,Display failure reported for display.,Component Replaced,575.69,575.69,4,True
R0010005,P016958,LP-ACER-ZEN-QR9-2019,DSP-ACER-ZEN-QR9-2019,Display,2026-03-15,Backlight failure,Backlight failure reported for display.,Component Replaced,255.96,255.96,8,False
R0010006,P016958,LP-ACER-ZEN-QR9-2019,BAT-ACER-ZEN-QR9-2019,Battery,2021-04-04,Battery degradation,Battery degradation reported for battery.,Component Replaced,104.73,104.73,1,False
R0010007,P016961,LP-APPLE-CREATOR-B94-2021,BAT-APPLE-CREATOR-B94-2021,Battery,2024-10-01,Battery degradation,Battery degradation reported for battery.,Repaired,167.29,302.41,1,False
R0010008,P016963,LP-HP-SLIM-6H4-2024,MB-HP-SLIM-6H4-2024,Motherboard,2026-04-23,Charging circuit failure,Charging circuit failure reported for motherboard.,Component Replaced,749.21,749.21,6,False
R0010009,P016965,LP-DELL-BLADE-L19-2022,RAM-DELL-BLADE-L19-2022,RAM,2022-04-08,Memory error,Memory error reported for ram.,Component Replaced,205.4,205.4,1,True
R0010010,P016968,LP-LENOVO-SLIM-JH1-2021,MB-LENOVO-SLIM-JH1-2021,Motherboard,2021-12-21,System instability,System instability reported for motherboard.,Component Replaced,612.45,612.45,13,True
R0010011,P016968,LP-LENOVO-SLIM-JH1-2021,BAT-LENOVO-SLIM-JH1-2021,Battery,2025-09-02,Rapid battery drain,Rapid battery drain reported for battery.,Component Replaced,262.35,262.35,3,False
R0010012,P016972,LP-APPLE-LEGION-48O-2020,MB-APPLE-LEGION-48O-2020,Motherboard,2020-01-13,System instability,System instability reported for motherboard.,Component Replaced,411.43,411.43,7,True
R0010013,P016973,LP-MSI-BLADE-UMX-2020,MB-MSI-BLADE-UMX-2020,Motherboard,2024-09-13,Boot failure,Boot failure reported for motherboard.,Repaired,311.27,647.1,5,False
R0010014,P016976,LP-ACER-BLADE-OKM-2019,MB-ACER-BLADE-OKM-2019,Motherboard,2023-06-25,Charging circuit failure,Charging circuit failure reported for motherboard.,Repaired,155.49,391.91,13,False
R0010015,P016976,LP-ACER-BLADE-OKM-2019,SSD-ACER-BLADE-OKM-2019,SSD,2025-03-04,Drive not detected,Drive not detected reported for ssd.,Component Replaced,172.35,172.35,4,False
R0010016,P016977,LP-ASUS-NITRO-D6E-2024,MB-ASUS-NITRO-D6E-2024,Motherboard,2025-06-09,Boot failure,Boot failure reported for motherboard.,Component Replaced,610.29,610.29,5,True
R0010017,P016979,LP-MSI-LEGION-8QW-2019,DSP-MSI-LEGION-8QW-2019,Display,2020-12-10,Display failure,Display failure reported for display.,Component Replaced,481.77,481.77,4,False
R0010018,P016979,LP-MSI-LEGION-8QW-2019,SSD-MSI-LEGION-8QW-2019,SSD,2023-07-03,Drive not detected,Drive not detected reported for ssd.,Component Replaced,256.38,256.38,5,False
R0010019,P016979,LP-MSI-LEGION-8QW-2019,KBD-MSI-LEGION-8QW-2019,Keyboard,2024-09-21,Liquid damage,Liquid damage reported for keyboard.,Component Replaced,108.13,108.13,4,False
R0010020,P016980,LP-ACER-PRO-W2B-2018,MB-ACER-PRO-W2B-2018,Motherboard,2025-06-20,Boot failure,Boot failure reported for motherboard.,Component Replaced,506.24,506.24,7,False
R0010021,P016980,LP-ACER-PRO-W2B-2018,DSP-ACER-PRO-W2B-2018,Display,2023-04-26,Backlight failure,Backlight failure reported for display.,Repaired,231.43,429.11,6,False
R0010022,P016983,LP-ACER-LEGION-LAM-2022,MB-ACER-LEGION-LAM-2022,Motherboard,2025-04-12,Boot failure,Boot failure reported for motherboard.,Component Replaced,431.66,431.66,11,False
R0010023,P016987,LP-DELL-STEALTH-WJG-2025,BAT-DELL-STEALTH-WJG-2025,Battery,2026-02-18,Rapid battery drain,Rapid battery drain reported for battery.,Component Replaced,102.57,102.57,1,True
R0010024,P016992,LP-ACER-SLIM-YVJ-2020,MB-ACER-SLIM-YVJ-2020,Motherboard,2020-10-16,Power failure,Power failure reported for motherboard.,Repaired,272.12,556.55,14,True
R0010025,P016993,LP-DELL-PRO-7XJ-2025,DSP-DELL-PRO-7XJ-2025,Display,2025-09-18,Screen flickering,Screen flickering reported for display.,Component Replaced,318.41,318.41,3,True
R0010026,P016993,LP-DELL-PRO-7XJ-2025,BAT-DELL-PRO-7XJ-2025,Battery,2025-12-26,Rapid battery drain,Rapid battery drain reported for battery.,Component Replaced,151.76,151.76,2,True
R0010027,P016993,LP-DELL-PRO-7XJ-2025,KBD-DELL-PRO-7XJ-2025,Keyboard,2026-06-10,Key failure,Key failure reported for keyboard.,Component Replaced,65.56,65.56,2,False
R0010028,P016994,LP-HP-AIR-IYG-2023,RAM-HP-AIR-IYG-2023,RAM,2026-07-29,System crashes,System crashes reported for ram.,Component Replaced,257.75,257.75,3,False
R0010029,P016996,LP-MSI-CREATOR-TGT-2018,BAT-MSI-CREATOR-TGT-2018,Battery,2021-07-05,Battery swelling,Battery swelling reported for battery.,Repaired,64.36,112.39,4,False
R0010030,P016999,LP-ASUS-THINK-Y5F-2024,MB-ASUS-THINK-Y5F-2024,Motherboard,2026-05-15,Boot failure,Boot failure reported for motherboard.,Component Replaced,587.52,587.52,15,False
R0010031,P017000,LP-DELL-BLADE-CF5-2023,MB-DELL-BLADE-CF5-2023,Motherboard,2026-01-17,Power failure,Power failure reported for motherboard.,End of Life,106.61,603.29,11,False
R0010032,P017002,LP-ACER-THINK-AJ8-2022,MB-ACER-THINK-AJ8-2022,Motherboard,2023-01-10,Power failure,Power failure reported for motherboard.,Component Replaced,459.93,459.93,7,False
R0010033,P017004,LP-RAZER-SLIM-XFS-2023,MB-RAZER-SLIM-XFS-2023,Motherboard,2026-04-09,System instability,System instability reported for motherboard.,Component Replaced,591.19,591.19,15,True
R0010034,P017006,LP-LENOVO-AIR-JRF-2024,KBD-LENOVO-AIR-JRF-2024,Keyboard,2024-12-13,Key failure,Key failure reported for keyboard.,Component Replaced,61.27,61.27,5,True
R0010035,P017009,LP-LENOVO-CREATOR-FMP-2022,MB-LENOVO-CREATOR-FMP-2022,Motherboard,2024-05-21,System instability,System instability reported for motherboard.,Repaired,93.09,344.68,9,False
R0010036,P017009,LP-LENOVO-CREATOR-FMP-2022,BAT-LENOVO-CREATOR-FMP-2022,Battery,2026-05-23,Battery degradation,Battery degradation reported for battery.,Component Replaced,155.08,155.08,3,False
R0010037,P017012,LP-ACER-ZEN-EPS-2019,DSP-ACER-ZEN-EPS-2019,Display,2021-11-12,Screen flickering,Screen flickering reported for display.,Component Replaced,420.09,420.09,3,False
R0010038,P017014,LP-GIGABYTE-SLIM-WVN-2024,RAM-GIGABYTE-SLIM-WVN-2024,RAM,2024-07-18,System crashes,System crashes reported for ram.,Component Replaced,175.74,175.74,3,True
R0010039,P017015,LP-HP-LEGION-GW4-2021,DSP-HP-LEGION-GW4-2021,Display,2026-01-01,Backlight failure,Backlight failure reported for display.,Component Replaced,397.75,397.75,9,False
R0010040,P017020,LP-ASUS-LEGION-24E-2020,BAT-ASUS-LEGION-24E-2020,Battery,2022-12-28,Battery not charging,Battery not charging reported for battery.,Component Replaced,179.95,179.95,1,False
R0010041,P017021,LP-HP-STEALTH-B7N-2020,MB-HP-STEALTH-B7N-2020,Motherboard,2024-11-13,Boot failure,Boot failure reported for motherboard.,End of Life,30.04,245.61,10,False
R0010042,P017021,LP-HP-STEALTH-B7N-2020,SSD-HP-STEALTH-B7N-2020,SSD,2023-08-02,Drive not detected,Drive not detected reported for ssd.,Component Replaced,98.18,98.18,4,False
R0010043,P017024,LP-APPLE-PRO-01X-2025,DSP-APPLE-PRO-01X-2025,Display,2025-10-11,Screen flickering,Screen flickering reported for display.,Repaired,352.48,726.01,9,True
R0010044,P017030,LP-ASUS-AIR-EP4-2019,MB-ASUS-AIR-EP4-2019,Motherboard,2024-02-23,Power failure,Power failure reported for motherboard.,Component Replaced,397.36,397.36,14,False
R0010045,P017030,LP-ASUS-AIR-EP4-2019,RAM-ASUS-AIR-EP4-2019,RAM,2020-10-07,RAM module failure,RAM module failure reported for ram.,Component Replaced,135.07,135.07,1,True
R0010046,P017033,LP-GIGABYTE-STEALTH-X0P-2023,MB-GIGABYTE-STEALTH-X0P-2023,Motherboard,2024-11-13,Power failure,Power failure reported for motherboard.,Component Replaced,491.58,491.58,11,True
R0010047,P017041,LP-HP-NITRO-HTP-2021,DSP-HP-NITRO-HTP-2021,Display,2022-02-15,Dead pixels,Dead pixels reported for display.,Repaired,233.67,494.52,7,False
R0010048,P017042,LP-APPLE-AIR-02S-2020,RAM-APPLE-AIR-02S-2020,RAM,2024-02-15,System crashes,System crashes reported for ram.,Repaired,73.01,127.51,1,False
R0010049,P017043,LP-ASUS-PRO-1MH-2019,MB-ASUS-PRO-1MH-2019,Motherboard,2025-09-06,System instability,System instability reported for motherboard.,Repaired,163.17,307.1,15,False
R0010050,P017044,LP-GIGABYTE-NITRO-QUK-2018,MB-GIGABYTE-NITRO-QUK-2018,Motherboard,2024-08-22,Power failure,Power failure reported for motherboard.,Component Replaced,339.08,339.08,13,False
R0010051,P017045,LP-ASUS-BLADE-81W-2023,MB-ASUS-BLADE-81W-2023,Motherboard,2024-03-05,Power failure,Power failure reported for motherboard.,Component Replaced,337.48,337.48,9,True
R0010052,P017046,LP-SAMSUNG-CREATOR-8M7-2023,KBD-SAMSUNG-CREATOR-8M7-2023,Keyboard,2024-10-31,Key failure,Key failure reported for keyboard.,Component Replaced,118.09,118.09,3,True
R0010053,P017048,LP-SAMSUNG-SLIM-VMA-2021,SSD-SAMSUNG-SLIM-VMA-2021,SSD,2024-06-26,Storage failure,Storage failure reported for ssd.,Component Replaced,142.03,142.03,6,False
R0010054,P017052,LP-RAZER-SLIM-OK5-2023,BAT-RAZER-SLIM-OK5-2023,Battery,2025-05-22,Battery degradation,Battery degradation reported for battery.,Component Replaced,128.36,128.36,1,False
R0010055,P017054,LP-HP-PRO-LYD-2024,BAT-HP-PRO-LYD-2024,Battery,2024-05-20,Battery swelling,Battery swelling reported for battery.,Repaired,39.47,124.19,4,True
R0010056,P017055,LP-SAMSUNG-PRO-Z9R-2019,KBD-SAMSUNG-PRO-Z9R-2019,Keyboard,2020-03-28,Multiple keys malfunctioning,Multiple keys malfunctioning reported for keyboard.,Component Replaced,88.84,88.84,4,True
R0010057,P017056,LP-DELL-LEGION-V1R-2021,BAT-DELL-LEGION-V1R-2021,Battery,2023-02-16,Rapid battery drain,Rapid battery drain reported for battery.,Repaired,45.21,128.07,4,False
R0010058,P017056,LP-DELL-LEGION-V1R-2021,KBD-DELL-LEGION-V1R-2021,Keyboard,2022-11-01,Multiple keys malfunctioning,Multiple keys malfunctioning reported for keyboard.,Component Replaced,54.29,54.29,1,True
R0010059,P017058,LP-LENOVO-SLIM-8NB-2023,MB-LENOVO-SLIM-8NB-2023,Motherboard,2024-02-27,Boot failure,Boot failure reported for motherboard.,Component Replaced,695.33,695.33,6,False
R0010060,P017060,LP-MSI-NITRO-1I4-2022,MB-MSI-NITRO-1I4-2022,Motherboard,2025-09-19,Charging circuit failure,Charging circuit failure reported for motherboard.,Component Replaced,456.71,456.71,11,False
R0010061,P017067,LP-ASUS-SLIM-0DP-2025,DSP-ASUS-SLIM-0DP-2025,Display,2025-03-12,Display failure,Display failure reported for display.,Component Replaced,493.41,493.41,6,True
R0010062,P017068,LP-GIGABYTE-LEGION-B1T-2021,DSP-GIGABYTE-LEGION-B1T-2021,Display,2023-11-25,Backlight failure,Backlight failure reported for display.,Component Replaced,356.82,356.82,4,False
R0010063,P017068,LP-GIGABYTE-LEGION-B1T-2021,BAT-GIGABYTE-LEGION-B1T-2021,Battery,2024-09-12,Rapid battery drain,Rapid battery drain reported for battery.,End of Life,34.84,178.07,1,False
R0010064,P017073,LP-ACER-PRO-AMV-2025,MB-ACER-PRO-AMV-2025,Motherboard,2026-06-15,System instability,System instability reported for motherboard.,Component Replaced,408.84,408.84,5,False
R0010065,P017075,LP-DELL-STEALTH-B83-2022,DSP-DELL-STEALTH-B83-2022,Display,2023-04-09,Backlight failure,Backlight failure reported for display.,Component Replaced,304.12,304.12,7,True
R0010066,P017076,LP-MSI-LEGION-OPO-2020,MB-MSI-LEGION-OPO-2020,Motherboard,2024-10-07,Power failure,Power failure reported for motherboard.,Component Replaced,457.96,457.96,12,False
R0010067,P017076,LP-MSI-LEGION-OPO-2020,BAT-MSI-LEGION-OPO-2020,Battery,2026-05-25,Battery swelling,Battery swelling reported for battery.,End of Life,33.74,214.11,1,False
R0010068,P017079,LP-SAMSUNG-BLADE-QS9-2021,MB-SAMSUNG-BLADE-QS9-2021,Motherboard,2022-09-23,System instability,System instability reported for motherboard.,Component Replaced,545.56,545.56,14,False
R0010069,P017081,LP-HP-SLIM-474-2025,BAT-HP-SLIM-474-2025,Battery,2025-12-12,Battery degradation,Battery degradation reported for battery.,Component Replaced,216.07,216.07,1,True
R0010070,P017084,LP-ASUS-SLIM-3G4-2020,KBD-ASUS-SLIM-3G4-2020,Keyboard,2026-04-04,Keyboard not responding,Keyboard not responding reported for keyboard.,Component Replaced,130.23,130.23,4,False
R0010071,P017086,LP-GIGABYTE-SLIM-CUX-2024,MB-GIGABYTE-SLIM-CUX-2024,Motherboard,2025-11-23,Power failure,Power failure reported for motherboard.,Repaired,118.27,367.32,15,False
R0010072,P017088,LP-HP-BLADE-XN9-2023,MB-HP-BLADE-XN9-2023,Motherboard,2024-10-15,Power failure,Power failure reported for motherboard.,Component Replaced,698.58,698.58,5,False
R0010073,P017091,LP-HP-ZEN-P2S-2018,MB-HP-ZEN-P2S-2018,Motherboard,2022-10-21,System instability,System instability reported for motherboard.,End of Life,68.72,460.5,5,False
R0010074,P017092,LP-APPLE-THINK-BZ7-2022,SSD-APPLE-THINK-BZ7-2022,SSD,2026-03-18,Read/write errors,Read/write errors reported for ssd.,Component Replaced,242.22,242.22,3,False
R0010075,P017094,LP-HP-BLADE-0ZN-2025,MB-HP-BLADE-0ZN-2025,Motherboard,2025-03-27,Boot failure,Boot failure reported for motherboard.,Component Replaced,505.88,505.88,5,True
R0010076,P017094,LP-HP-BLADE-0ZN-2025,DSP-HP-BLADE-0ZN-2025,Display,2025-10-10,Display failure,Display failure reported for display.,Repaired,111.21,390.41,9,True
R0010077,P017095,LP-HP-PRO-FKR-2022,MB-HP-PRO-FKR-2022,Motherboard,2024-06-05,Charging circuit failure,Charging circuit failure reported for motherboard.,Component Replaced,435.15,435.15,12,False
R0010078,P017097,LP-ASUS-BLADE-G79-2025,BAT-ASUS-BLADE-G79-2025,Battery,2026-04-12,Battery not charging,Battery not charging reported for battery.,Component Replaced,173.3,173.3,2,False
R0010079,P017097,LP-ASUS-BLADE-G79-2025,SSD-ASUS-BLADE-G79-2025,SSD,2025-08-29,Storage failure,Storage failure reported for ssd.,Component Replaced,183.34,183.34,5,True
R0010080,P017098,LP-ASUS-PRO-YKE-2023,DSP-ASUS-PRO-YKE-2023,Display,2025-03-28,Display failure,Display failure reported for display.,Component Replaced,370.57,370.57,5,True
R0010081,P017098,LP-ASUS-PRO-YKE-2023,BAT-ASUS-PRO-YKE-2023,Battery,2023-06-05,Battery degradation,Battery degradation reported for battery.,Component Replaced,155.68,155.68,4,True
R0010082,P017098,LP-ASUS-PRO-YKE-2023,KBD-ASUS-PRO-YKE-2023,Keyboard,2023-11-20,Multiple keys malfunctioning,Multiple keys malfunctioning reported for keyboard.,Component Replaced,90.23,90.23,1,True
R0010083,P017100,LP-APPLE-STEALTH-VZH-2023,DSP-APPLE-STEALTH-VZH-2023,Display,2026-08-13,Screen flickering,Screen flickering reported for display.,Component Replaced,499.23,499.23,8,False
R0010084,P017102,LP-APPLE-THINK-J0D-2024,BAT-APPLE-THINK-J0D-2024,Battery,2024-08-25,Battery swelling,Battery swelling reported for battery.,Component Replaced,306.87,306.87,2,True
R0010085,P017114,LP-SAMSUNG-NITRO-NCU-2021,DSP-SAMSUNG-NITRO-NCU-2021,Display,2024-04-23,Screen flickering,Screen flickering reported for display.,Component Replaced,584.13,584.13,6,False
R0010086,P017114,LP-SAMSUNG-NITRO-NCU-2021,BAT-SAMSUNG-NITRO-NCU-2021,Battery,2024-07-08,Battery degradation,Battery degradation reported for battery.,Repaired,110.66,223.09,3,False
R0010087,P017116,LP-ACER-LEGION-5FL-2019,MB-ACER-LEGION-5FL-2019,Motherboard,2022-06-28,Power failure,Power failure reported for motherboard.,Component Replaced,411.77,411.77,15,False
R0010088,P017124,LP-HP-LEGION-RW5-2023,MB-HP-LEGION-RW5-2023,Motherboard,2026-06-30,System instability,System instability reported for motherboard.,Component Replaced,528.32,528.32,13,False
R0010089,P017127,LP-MSI-LEGION-4CX-2022,BAT-MSI-LEGION-4CX-2022,Battery,2023-09-15,Battery degradation,Battery degradation reported for battery.,Component Replaced,163.87,163.87,4,True
R0010090,P017128,LP-HP-CREATOR-XVW-2025,DSP-HP-CREATOR-XVW-2025,Display,2026-03-17,Dead pixels,Dead pixels reported for display.,Repaired,97.78,293.49,3,True
R0010091,P017128,LP-HP-CREATOR-XVW-2025,BAT-HP-CREATOR-XVW-2025,Battery,2025-01-14,Battery not charging,Battery not charging reported for battery.,Component Replaced,117.58,117.58,3,True
R0010092,P017131,LP-LENOVO-AIR-QZW-2024,DSP-LENOVO-AIR-QZW-2024,Display,2026-01-30,Backlight failure,Backlight failure reported for display.,End of Life,30.08,482.64,7,False
R0010093,P017135,LP-GIGABYTE-ZEN-TA1-2024,BAT-GIGABYTE-ZEN-TA1-2024,Battery,2025-06-11,Battery degradation,Battery degradation reported for battery.,Component Replaced,135.57,135.57,1,True
R0010094,P017140,LP-ACER-CREATOR-RVC-2024,BAT-ACER-CREATOR-RVC-2024,Battery,2025-05-09,Rapid battery drain,Rapid battery drain reported for battery.,End of Life,26.86,137.93,3,False
R0010095,P017141,LP-ACER-STEALTH-N3Z-2023,MB-ACER-STEALTH-N3Z-2023,Motherboard,2026-03-29,System instability,System instability reported for motherboard.,Component Replaced,241.35,241.35,10,False
R0010096,P017142,LP-SAMSUNG-STEALTH-ALN-2023,MB-SAMSUNG-STEALTH-ALN-2023,Motherboard,2024-08-23,System instability,System instability reported for motherboard.,Component Replaced,324.39,324.39,6,False
R0010097,P017142,LP-SAMSUNG-STEALTH-ALN-2023,BAT-SAMSUNG-STEALTH-ALN-2023,Battery,2023-12-18,Battery not charging,Battery not charging reported for battery.,Component Replaced,108.1,108.1,2,True
R0010098,P017143,LP-ACER-THINK-TYY-2019,SSD-ACER-THINK-TYY-2019,SSD,2020-02-08,Read/write errors,Read/write errors reported for ssd.,Component Replaced,85.49,85.49,5,True
R0010099,P017146,LP-MSI-THINK-J1F-2024,DSP-MSI-THINK-J1F-2024,Display,2025-05-25,Dead pixels,Dead pixels reported for display.,Component Replaced,264.35,264.35,5,True
R0010100,P017148,LP-GIGABYTE-BLADE-R6F-2023,SSD-GIGABYTE-BLADE-R6F-2023,SSD,2025-01-22,Storage failure,Storage failure reported for ssd.,Repaired,43.39,144.65,6,False
R0010101,P017151,LP-MSI-SLIM-BTY-2020,DSP-MSI-SLIM-BTY-2020,Display,2022-12-25,Display failure,Display failure reported for display.,Component Replaced,298.06,298.06,8,False
R0010102,P017156,LP-APPLE-STEALTH-FCR-2025,BAT-APPLE-STEALTH-FCR-2025,Battery,2026-08-15,Battery not charging,Battery not charging reported for battery.,Component Replaced,121.01,121.01,3,False
R0010103,P017156,LP-APPLE-STEALTH-FCR-2025,SSD-APPLE-STEALTH-FCR-2025,SSD,2026-01-14,Storage failure,Storage failure reported for ssd.,Component Replaced,170.82,170.82,2,False
R0010104,P017157,LP-HP-ZEN-CM3-2022,MB-HP-ZEN-CM3-2022,Motherboard,2024-02-23,System instability,System instability reported for motherboard.,Component Replaced,395.77,395.77,12,False
R0010105,P017158,LP-ASUS-PRO-8N8-2020,DSP-ASUS-PRO-8N8-2020,Display,2022-05-13,Dead pixels,Dead pixels reported for display.,Component Replaced,337.62,337.62,8,False
R0010106,P017165,LP-DELL-LEGION-AK9-2023,KBD-DELL-LEGION-AK9-2023,Keyboard,2023-10-27,Key failure,Key failure reported for keyboard.,Component Replaced,74.12,74.12,2,True
R0010107,P017166,LP-ASUS-STEALTH-47T-2022,MB-ASUS-STEALTH-47T-2022,Motherboard,2026-05-27,Boot failure,Boot failure reported for motherboard.,Component Replaced,295.82,295.82,14,False
R0010108,P017170,LP-ACER-LEGION-H4T-2023,MB-ACER-LEGION-H4T-2023,Motherboard,2025-06-16,Boot failure,Boot failure reported for motherboard.,Component Replaced,486.69,486.69,12,False
R0010109,P017170,LP-ACER-LEGION-H4T-2023,KBD-ACER-LEGION-H4T-2023,Keyboard,2023-11-06,Keyboard not responding,Keyboard not responding reported for keyboard.,Component Replaced,96.76,96.76,4,True
R0010110,P017171,LP-APPLE-AIR-SX5-2025,BAT-APPLE-AIR-SX5-2025,Battery,2025-11-07,Battery not charging,Battery not charging reported for battery.,Component Replaced,369.88,369.88,2,True
R0010111,P017174,LP-HP-SLIM-CJ6-2024,BAT-HP-SLIM-CJ6-2024,Battery,2025-11-19,Battery swelling,Battery swelling reported for battery.,Component Replaced,169.67,169.67,4,True
R0010112,P017176,LP-MSI-NITRO-RTP-2025,SSD-MSI-NITRO-RTP-2025,SSD,2025-12-20,Performance degradation,Performance degradation reported for ssd.,Repaired,81.32,297.87,2,True
R0010113,P017177,LP-MSI-ZEN-GE6-2023,MB-MSI-ZEN-GE6-2023,Motherboard,2023-04-05,Charging circuit failure,Charging circuit failure reported for motherboard.,Component Replaced,284.75,284.75,11,True
R0010114,P017178,LP-APPLE-NITRO-M5C-2025,MB-APPLE-NITRO-M5C-2025,Motherboard,2026-03-27,Boot failure,Boot failure reported for motherboard.,Repaired,441.55,804.19,5,False
R0010115,P017180,LP-MSI-SLIM-RBL-2023,MB-MSI-SLIM-RBL-2023,Motherboard,2026-05-01,Charging circuit failure,Charging circuit failure reported for motherboard.,Component Replaced,484.22,484.22,6,False
R0010116,P017181,LP-APPLE-LEGION-RHG-2023,DSP-APPLE-LEGION-RHG-2023,Display,2025-05-27,Display failure,Display failure reported for display.,Component Replaced,707.47,707.47,6,False
R0010117,P017185,LP-ASUS-STEALTH-9AM-2023,BAT-ASUS-STEALTH-9AM-2023,Battery,2025-03-15,Battery swelling,Battery swelling reported for battery.,Component Replaced,146.69,146.69,3,True
R0010118,P017188,LP-DELL-ZEN-UC1-2023,SSD-DELL-ZEN-UC1-2023,SSD,2025-06-14,Drive not detected,Drive not detected reported for ssd.,Repaired,136.21,239.35,6,False
R0010119,P017189,LP-MSI-STEALTH-3DY-2021,KBD-MSI-STEALTH-3DY-2021,Keyboard,2026-03-23,Liquid damage,Liquid damage reported for keyboard.,Repaired,36.98,116.29,4,False
R0010120,P017192,LP-GIGABYTE-ZEN-9OV-2023,MB-GIGABYTE-ZEN-9OV-2023,Motherboard,2026-01-01,Boot failure,Boot failure reported for motherboard.,Component Replaced,421.58,421.58,6,True
R0010121,P017192,LP-GIGABYTE-ZEN-9OV-2023,DSP-GIGABYTE-ZEN-9OV-2023,Display,2026-08-10,Screen flickering,Screen flickering reported for display.,Component Replaced,287.34,287.34,6,True
R0010122,P017193,LP-ASUS-BLADE-2EK-2023,MB-ASUS-BLADE-2EK-2023,Motherboard,2026-01-13,Charging circuit failure,Charging circuit failure reported for motherboard.,Repaired,209.6,514.17,11,False
R0010123,P017194,LP-HP-LEGION-SJM-2022,DSP-HP-LEGION-SJM-2022,Display,2025-11-20,Backlight failure,Backlight failure reported for display.,Component Replaced,272.1,272.1,7,False
R0010124,P017196,LP-DELL-CREATOR-20K-2025,DSP-DELL-CREATOR-20K-2025,Display,2026-05-03,Backlight failure,Backlight failure reported for display.,Repaired,192.01,492.02,9,True
R0010125,P017199,LP-LENOVO-SLIM-TM2-2022,MB-LENOVO-SLIM-TM2-2022,Motherboard,2024-06-03,Power failure,Power failure reported for motherboard.,Component Replaced,430.97,430.97,8,False
R0010126,P017199,LP-LENOVO-SLIM-TM2-2022,BAT-LENOVO-SLIM-TM2-2022,Battery,2022-05-26,Battery not charging,Battery not charging reported for battery.,Component Replaced,139.65,139.65,2,True
R0010127,P017200,LP-RAZER-THINK-YO0-2021,MB-RAZER-THINK-YO0-2021,Motherboard,2024-06-15,Charging circuit failure,Charging circuit failure reported for motherboard.,Component Replaced,882.36,882.36,6,False
R0010128,P017201,LP-RAZER-BLADE-VDT-2019,RAM-RAZER-BLADE-VDT-2019,RAM,2023-03-04,System crashes,System crashes reported for ram.,Component Replaced,167.55,167.55,4,False
R0010129,P017206,LP-LENOVO-PRO-JIL-2023,MB-LENOVO-PRO-JIL-2023,Motherboard,2026-07-11,Boot failure,Boot failure reported for motherboard.,Repaired,283.71,504.88,5,False
R0010130,P017206,LP-LENOVO-PRO-JIL-2023,BAT-LENOVO-PRO-JIL-2023,Battery,2024-07-21,Battery swelling,Battery swelling reported for battery.,End of Life,30.21,168.05,2,False
R0010131,P017208,LP-ACER-PRO-Z3N-2023,BAT-ACER-PRO-Z3N-2023,Battery,2024-09-11,Battery not charging,Battery not charging reported for battery.,Component Replaced,210.19,210.19,4,False
R0010132,P017210,LP-DELL-CREATOR-626-2023,RAM-DELL-CREATOR-626-2023,RAM,2023-03-27,Memory instability,Memory instability reported for ram.,Component Replaced,152.22,152.22,2,True
R0010133,P017213,LP-GIGABYTE-AIR-4UA-2022,MB-GIGABYTE-AIR-4UA-2022,Motherboard,2022-04-01,Boot failure,Boot failure reported for motherboard.,Component Replaced,619.0,619.0,12,True
R0010134,P017216,LP-LENOVO-NITRO-Y6M-2023,MB-LENOVO-NITRO-Y6M-2023,Motherboard,2023-01-02,Power failure,Power failure reported for motherboard.,Component Replaced,624.26,624.26,14,True
R0010135,P017217,LP-APPLE-STEALTH-T3N-2025,BAT-APPLE-STEALTH-T3N-2025,Battery,2025-04-01,Battery not charging,Battery not charging reported for battery.,Repaired,113.52,265.39,1,True
R0010136,P017218,LP-APPLE-PRO-87O-2021,BAT-APPLE-PRO-87O-2021,Battery,2023-02-06,Battery not charging,Battery not charging reported for battery.,Component Replaced,174.26,174.26,1,False
R0010137,P017220,LP-ASUS-NITRO-RZ5-2023,DSP-ASUS-NITRO-RZ5-2023,Display,2025-09-05,Screen flickering,Screen flickering reported for display.,Repaired,280.29,473.47,8,False
R0010138,P017221,LP-MSI-STEALTH-DCQ-2022,MB-MSI-STEALTH-DCQ-2022,Motherboard,2026-05-27,Charging circuit failure,Charging circuit failure reported for motherboard.,Component Replaced,264.17,264.17,9,False
R0010139,P017222,LP-HP-CREATOR-KF3-2024,MB-HP-CREATOR-KF3-2024,Motherboard,2024-08-28,Charging circuit failure,Charging circuit failure reported for motherboard.,Component Replaced,290.38,290.38,13,True
R0010140,P017222,LP-HP-CREATOR-KF3-2024,BAT-HP-CREATOR-KF3-2024,Battery,2024-06-11,Rapid battery drain,Rapid battery drain reported for battery.,Component Replaced,105.88,105.88,1,True
R0010141,P017223,LP-HP-ZEN-JVZ-2022,DSP-HP-ZEN-JVZ-2022,Display,2025-03-21,Backlight failure,Backlight failure reported for display.,Component Replaced,516.55,516.55,7,False
R0010142,P017229,LP-LENOVO-AIR-J2O-2024,MB-LENOVO-AIR-J2O-2024,Motherboard,2026-06-09,Power failure,Power failure reported for motherboard.,Component Replaced,480.11,480.11,14,True
